Order = 1; Elements: 1
Order = 40; Elements: 5350635361314201305611442960435723666226872366926998947603315494139225105476361176039603586274987448445631782880405675664221570899647905985986560
Order = 120; Elements: 93684669604417834475968963728902180648722294034938379755107352310658807833339248900680012428693159710769157690405659138088188262906756081272225792
Order = 56; Elements: 3579242566258103657086191386608491824448969597555107510846664337617022529561441103652565391471842056980200078729767849079076040007312499277824
Order = 168; Elements: 316039190193154749264607886169507480247594952999151414428935422299477800046677413500043046511911688854731691110931754619163677904575978144792576
Order = 280; Elements: 47207564317370030339853198533724290729752293277875954107559527936181930676888602186837933953484461711579017655701467786029972394643734537873391616
Order = 840; Elements: 602514857677507870346034208224923824564406071381919111270910771630955638819164555996625714288906296359891582075917854423357624567392418797673512960
Order = 9; Elements: 139897349965656811832795282441087444493347641785680601128156501547481148887214361831341894638244135467633072616658131973353452442611054942208
Order = 18; Elements: 11530376656922711561881110020069396607450685869330666757488676046081283708824354880614067972009175648951301008629974937575429329909943452434432
Order = 36; Elements: 51624770059361233216875615595561179847111791373686032445721865138490804755914170068238696625160127238497887194323309400546068391606097547362304
Order = 45; Elements: 1295358919674543662882175891690971065543309772902355003114702632858043469605780179103131667063260742215154716054547916326707846148800804552704
Order = 90; Elements: 70962334581201499899917588242439771278470323953551270211082886713012093346850671119527408551316418920411157863077923270885134395927165899573821440
Order = 180; Elements: 152843504984755673338847960631184781814421354447241001897897102886013051213639649575238480020072567619535635457339786443778998697212941747389202432
Order = 63; Elements: 9128808705530839284420193099872868469717382875170673045407629027352582989036447946539841775996507967248556370615334599126378525411428632887296
Order = 126; Elements: 425166751024350714508897485000279910515823483793373761441815837013896822652470083152397717720398699177926570627353954544111197392684967436222464
Order = 252; Elements: 1457740425959259436979219676040202354279561639192239043585184205466991037604445328449072141727921158615983297585010895172569670050969357540917248
Order = 315; Elements: 61029149552185697552879659170668657384463505221657072293683063432687510547744343851905346458526418372655406566860763446669058542848425574006784
Order = 630; Elements: 429256592534166329092758757866986681197226525114966501250338603707888193997877618047146658118388296988068647708002133732715822397855052454271385600
Order = 1260; Elements: 809650291222772433408520034210862261198807975468778907622076637794869524781720191885720818347851630560184506983299993703801729185383922174393319424
Order = 72; Elements: 5188806069142817225249225992325067823388908884919912848644978309697128629720727487592939420377032179211230516503121601873744958644555361323843584
Order = 360; Elements: 1999016214878041952251124830642940788209285540723539626956525569842304127672025972190218790174409717855594078224127257039484828665896618378334830592
Order = 504; Elements: 59778683920593291571414947103516635784938231160875516711712441209373873495178817165915228583913526608850810911809581662674697594020937018097270784
Order = 2520; Elements: 7525689124515226021754682426584762289217611590094937475230145005053818282928079506991001312113580892528997834451293424576750669473294755038173855744
Order = 11; Elements: 513946235090695684096
Order = 22; Elements: 96257142320893775179701975646514172369515609341851950386615051287135585073318451650897117184
Order = 33; Elements: 19876457528523173366282274654534520317756139817084449780429981882136907922568476368718878152135626790680928452608
Order = 66; Elements: 7269969774709626702930056601335429656436062674645647134754002715689566985882394739057462489717352861132209675213373563718839899883831296
Order = 44; Elements: 70075060838548901173270255492921215604938468094932162039288211610158963614365279039296975613766269024939569393109307070873600
Order = 132; Elements: 450068777346795350049995598824380139506977945540368483934069278313479431623046082429612538312027275151607077734510930607862541652657700864
Order = 55; Elements: 1310015942132116069844397333412878295549245104563798587400057370399796353713181095739115515107301802820647590738373854401077968896
Order = 110; Elements: 23767894331420370571372112360844520817894385196478764651639018465255271602077882532292277709635037057050058993653168635859723584798720
Order = 165; Elements: 206924057322978148465827635364506145488072124495050781206661249518646068172305722290023010354699186956972051503417019537501131374592
Order = 330; Elements: 224589080010115290038837884814218029966162052968234304404146571753550901239651852245821110820298127192081683659423557066048364868406026960896
Order = 220; Elements: 16824615313350980694363446923259738611960597663048423025772379251205110964822761654948309192263448977556841984456107597429358877506273280
Order = 660; Elements: 4067094887281253593041439251768416745694673858138081952437977998108990848040657384495517287957571183643995551752946453431459195674448782950400
Order = 77; Elements: 10664129697858831208856234718084876426318767063604489766757149224828377318147913949065694182434104755912377419518701560496163295638585344
Order = 154; Elements: 298376772205442531337676031110828041105178002950680670517310041854289303464349729019174407152069994673106187746419865257149845105673240576
Order = 231; Elements: 417611487205130213456324757194869725122954372731955132144807036500175409877823623933688089278752748864169139866797328622649442315156848640
Order = 462; Elements: 842666100599054918160910035845859318149188759037758334275940156123049146618111068011273552752804584700236005667551413679922135395420153577472
Order = 308; Elements: 5897861905516494041599800313299708432310247983339201204322366725445818293905750619789112279709825479399088261097833685323798990769212096512
Order = 924; Elements: 7431553548521967199770238456753237012492836617916610535806818746489715189430404781224999597364901402435707056771901773176478056124854378168320
Order = 385; Elements: 4188698255381933430443615307670531902694248295191124454977732411971255331069919130243379437592547619698140170828413455911969909439266291712
Order = 770; Elements: 847665254116667390472001710971913752566949601242343320113658425101067081099124772749946470081635637630006462512278822643087619875935480709120
Order = 1155; Elements: 27206419866077253306211248487476101722661571643720287739340429232553972083737098823633356525005493020008090456516803641241975278922847223808
Order = 2310; Elements: 370634784918348072845910879977342053028877358465121593635641516162967506544105459366361565022484981087025080642167748872780008601179673906380800
Order = 1540; Elements: 8952601602637015212768129110829749252819688093256097363280214084266526292489787860153956404654593741157098207643348862830836886898812330704896
Order = 4620; Elements: 2077302658800060069630726352695025573155850129214083767270168142865078523345644806084831748616855580979832406822096962721383337106990187946180608
Order = 88; Elements: 446167847718582838602301381068292234764370842597770095189610083227808172574666910171086386966670171254042506678749004917317756574021839749120
Order = 264; Elements: 96560485909101679723377298773145817437225877754019046990553452162380917912567518709896035300107922571969629794092179194372725175135719147962368
Order = 440; Elements: 7403449936107155407788997596493370752892759817787884823796426477254586685625930464681227492258609103658706808209135188570035538757740945997824
Order = 1320; Elements: 930406719838791537846967195791678834188208206414917861671208906320805455705519602172916214556586364659386987314419915267052784774033900480495616
Order = 616; Elements: 77744728706459255491691127312416931692940117962555571799552727042941332623731001147416604243056415656686221273311194013741658731264531801047040
Order = 1848; Elements: 4714170245316374767193476388880477879978439860500053991733162761175790604172504857548171280357594177831370941199994310479695816608031748506255360
Order = 3080; Elements: 634355063212981914253060117800448391361064136265636157006822234792657143582848506528164845981875391569158618828217717123786657758099108960141312
Order = 9240; Elements: 34463066820940375732447720221830964675078306002479348706669051471466824821118799475957691758792108220281371843793124932391552630009475503159771136
Order = 99; Elements: 1951951255887071054786509104115732804264315094108923600696738213279392781656092816460264863430277262009785897239629042292046180956626386681856
Order = 198; Elements: 196021700845949136664286012076485387353763920877840432909640888484644998361751258413730063200154926535993419626182657684790627512778657762377728
Order = 396; Elements: 786120702768880100616726324116190982387956137794986101123384646008264327451858485728232339104221523070357131259949238185719107636122067797016576
Order = 495; Elements: 24636374819397992561036192413020102002870440012312754385531113188892217928860457012732681961619920845864813816431203157858597254946806441181184
Order = 990; Elements: 1242032501205775254137839684302527556016615716293627746492033331232296172700467074144904901919898930913533121459821084244224424896793127646396416
Order = 1980; Elements: 4292931651464856390686286979792655026255828430093124119750920706539513636128709940015387142267697365217161220996138758204520562673005074095013888
Order = 693; Elements: 143322672661002811188559212474639837740954747233856153137736421339515398450052775466493232945154208137362858424412300644535651655081645590970368
Order = 1386; Elements: 4987321563949921765970100416447864205271928520470303397392411318231273481580178286310608626885169706618237153015423750601407037508983102902370304
Order = 2772; Elements: 15277350282214482483443805425534841076912806433773537316330749049137063943475179826690861569762214097736428575141886697800698978975904063431901184
Order = 3465; Elements: 788137608678141394892042607258418588103345361632255535133179337644210110705033786073374441065533563983413968729956934303056606610520015015772160
Order = 6930; Elements: 21279033205992935300639539938672433880750503088821062144417684406337723958614456686219603490176518821030872444574819010719461550433289312323764224
Order = 13860; Elements: 58372986953848115500719898863371689547879454746894190874899803302196457332395273677639585125081187350835333315912181372929971657313502815710085120
Order = 792; Elements: 47969297546628707926588657800900129601154698426118091913793538524316213162691607233324947504618107689012001495172409986304848375804453522157600768
Order = 3960; Elements: 166199250643921329426917936402118825003960695444878050014838046697917956564999472834922299584643593163529684804019115457487822610478392639271993344
Order = 5544; Elements: 407688544338999433020525469458856532546626303434319678054552132656225829722626126195326235405924312907856998579956214945479252722440444277428322304
Order = 27720; Elements: 1079721320485080788923057147313823123760679600384679526033548185389312623671861480833023443178876998887349955395778446274683974897832940329767010304
